codigo,item,rubro,subrubro,deposito,stock,precioLista,precioTransfer,precioSImp,precio3cuotas,fotos,talles,bordados,descripcion,textiles
L-WW-BU-ST15,Buzo Standard Unisex Gris Melange 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST12,Buzo Standard Unisex Gris Melange L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST11,Buzo Standard Unisex Gris Melange M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST10,Buzo Standard Unisex Gris Melange S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST13,Buzo Standard Unisex Gris Melange XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST9,Buzo Standard Unisex Gris Melange XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-grismelange-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST6,Buzo Standard Unisex Gris topo 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST34,Buzo Standard Unisex Gris topo 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST7,Buzo Standard Unisex Gris topo 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST4,Buzo Standard Unisex Gris topo L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST3,Buzo Standard Unisex Gris topo M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,4,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST2,Buzo Standard Unisex Gris topo S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST5,Buzo Standard Unisex Gris topo XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST1,Buzo Standard Unisex Gris topo XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,2,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-gristopo-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST30,Buzo Standard Unisex Negro 2XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST33,Buzo Standard Unisex Negro 2XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST31,Buzo Standard Unisex Negro 3XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,3,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST28,Buzo Standard Unisex Negro L,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,8,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST27,Buzo Standard Unisex Negro M,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,8,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST26,Buzo Standard Unisex Negro S,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,10,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST29,Buzo Standard Unisex Negro XL,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,8,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-BU-ST25,Buzo Standard Unisex Negro XS,PRODUCTO WORKWEAR,BUZO,ECOMMERCE,5,"$35,900.00","$30,515.00","$29,669.42","$11,966.67",buzo-standard-unisex/buzo-standard-unisex-negro-1,buzo-standard-unisex.jpg,superiores.jpg,"Buzo unisex de frisa, con escote redondo y terminaciones en rib a tono en puños, cuello y ruedo para un calce cómodo y moderno. Incluye tapacostura interno de jersey a tono, que aporta refuerzo y una terminación prolija. Confeccionado en frisa suave y abrigada, ideal para uso laboral o urbano. Una prenda básica, resistente y confortable para todo tipo de actividad.",FRIZA - 12% POLIESTER  y 88% ALGODÓN
L-WW-CAM-DR20,Camisa Drill Dama Celeste 36,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,2,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR21,Camisa Drill Dama Celeste 38,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,10,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR22,Camisa Drill Dama Celeste 40,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,9,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR23,Camisa Drill Dama Celeste 42,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,10,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR24,Camisa Drill Dama Celeste 44,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,8,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR25,Camisa Drill Dama Celeste 46,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,5,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR26,Camisa Drill Dama Celeste 48,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,3,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR27,Camisa Drill Dama Celeste 50,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,3,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-celeste-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR30,Camisa Drill Dama Gris 38,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,2,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-gris-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR31,Camisa Drill Dama Gris 40,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,1,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-gris-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
L-WW-CAM-DR32,Camisa Drill Dama Gris 42,PRODUCTO WORKWEAR,CAMISA,ECOMMERCE,1,"$45,990.00","$39,091.50","$38,008.26","$15,330.00",camisa-drill-dama/camisa-drill-dama-gris-1,camisa-drill-dama.jpg,superiores.jpg,"Camisa de trabajo para dama con corte sport y diseño entallado, que ofrece comodidad y estilo profesional. Cuenta con pinzas de busto y espalda para un calce femenino y favorecedor.
 Confeccionada en tela Oxford de alta calidad, resistente y fresca. Detalles de botones bicapa blancos.Disponible en celeste o gris. Ideal para uniformes empresariales o uso diario.",OXFORD 72%ALGODON 28%POLIESTER
